intent,isAllDay,location,date,startTime,endTime,title,description,text,response
CANCEL,0,Coffee Shop,2025-8-26,11:30:00,13:30:00,Webinar,Webinar,Cancel my 3 PM event,Your event 'Webinar' scheduled for 2025-8-26 at 11:30:00 has been canceled. Hope that helps!
UPDATE,0,Online,2026-8-26,13:45:00,14:15:00,Birthday Party,Birthday Party,Change the time of Birthday Party on 2025-06-07 to 13:45,Got it—I've updated 'Birthday Party' to 2026-8-26 from 13:45:00 to 14:15:00 at Online.
QUERY,0,Office,2025-5-19,11:00:00,12:00:00,Birthday Party,Birthday Party,Show me events next Monday,You have an event 'Birthday Party' on 2025-5-19 at 11:00:00. Would you like more details?
CHITCHAT,0,,,,,,,Hello! Hope you're doing well.,Glad you reached out—how can I help you today?
QUERY,0,Coffee Shop,2026-12-26,13:00:00,13:30:00,Performance Review,Performance Review,What are my appointments on 2026-12-26?,You have an event 'Performance Review' on 2026-12-26 at 13:00:00. Would you like more details?
CHITCHAT,0,,,,,,,"What a lovely day, isn't it?",Glad you reached out—how can I help you today?
ADD,0,Office,2025-5-15,16:45:00,17:15:00,Client Presentation,Client Presentation,Put Client Presentation on my calendar tomorrow at 16:45 at Office,Event 'Client Presentation' has been added on 2025-5-15 from 16:45:00 to 17:15:00 at Office. Let me know if you need anything else!
ADD,0,,2025-5-19,08:15:00,08:45:00,Webinar,Webinar,Schedule Webinar for next Monday 08:15,Event 'Webinar' has been added on 2025-5-19 from 08:15:00 to 08:45:00. Let me know if you need anything else!
CANCEL,0,Zoom,2025-5-15,14:00:00,14:30:00,Performance Review,Performance Review,Delete Performance Review on tomorrow at 14:00,Your event 'Performance Review' scheduled for 2025-5-15 at 14:00:00 has been canceled. Hope that helps!
QUERY,0,Online,2026-12-5,12:30:00,13:30:00,Performance Review,Performance Review,Show me events next Monday,You have an event 'Performance Review' on 2026-12-5 at 12:30:00. Would you like more details?
CHITCHAT,0,,,,,,,Good morning! Ready for the day?,Glad you reached out—how can I help you today?
UPDATE,0,Home,2026-7-26,08:45:00,10:45:00,Performance Review,Performance Review,Change the time of Performance Review on 2026-01-07 to 08:45,Got it—I've updated 'Performance Review' to 2026-7-26 from 08:45:00 to 10:45:00 at Home.
QUERY,0,Zoom,2026-9-28,17:30:00,18:30:00,Dentist Appointment,Dentist Appointment,What's on my calendar for 2026-09-28?,You have an event 'Dentist Appointment' on 2026-9-28 at 17:30:00. Would you like more details?
ADD,0,Conference Room A,2025-5-19,10:15:00,11:15:00,Yoga Class,Yoga Class,Schedule Yoga Class for next Monday 10:15 at Conference Room A,Event 'Yoga Class' has been added on 2025-5-19 from 10:15:00 to 11:15:00 at Conference Room A. Let me know if you need anything else!
QUERY,0,Coffee Shop,2025-5-14,14:15:00,16:15:00,Client Presentation,Client Presentation,Do I have any events tomorrow?,You have an event 'Client Presentation' on 2025-5-14 at 14:15:00. Would you like more details?
CANCEL,0,Home,2025-9-6,14:15:00,14:45:00,Webinar,Webinar,Delete Webinar on 2025-09-06 at 14:15,Your event 'Webinar' scheduled for 2025-9-6 at 14:15:00 has been canceled. Hope that helps!
UPDATE,0,Home,2026-7-10,10:45:00,11:45:00,Yoga Class,Yoga Class,Move Yoga Class from 2025-06-26 at 13:00 to 2026-07-10 at 10:45,Got it—I've updated 'Yoga Class' to 2026-7-10 from 10:45:00 to 11:45:00 at Home.
ADD,0,Home,2025-5-14,11:00:00,12:00:00,Team Meeting,Team Meeting,Add Team Meeting on today at 11:00 at Home,Event 'Team Meeting' has been added on 2025-5-14 from 11:00:00 to 12:00:00 at Home. Let me know if you need anything else!
QUERY,1,Online,2025-5-8,00:00:00,23:59:59,Performance Review,Performance Review,What are my appointments on 2025-05-08?,You have an event 'Performance Review' on 2025-5-8 at 00:00:00. Would you like more details?
ADD,0,Coffee Shop,2025-5-15,15:00:00,16:00:00,Performance Review,Performance Review,Put Performance Review on my calendar tomorrow at 15:00 at Coffee Shop,Event 'Performance Review' has been added on 2025-5-15 from 15:00:00 to 16:00:00 at Coffee Shop. Let me know if you need anything else!
ADD,0,Home,2025-5-14,17:15:00,19:15:00,Team Meeting,Team Meeting,Put Team Meeting on my calendar today at 17:15 at Home,Event 'Team Meeting' has been added on 2025-5-14 from 17:15:00 to 19:15:00 at Home. Let me know if you need anything else!
QUERY,0,Home,2025-4-11,13:45:00,15:45:00,Webinar,Webinar,Any meetings today?,You have an event 'Webinar' on 2025-4-11 at 13:45:00. Would you like more details?
CANCEL,0,Home,2025-12-14,16:00:00,16:30:00,Client Presentation,Client Presentation,Cancel Client Presentation on 2025-12-14 at 16:00,Your event 'Client Presentation' scheduled for 2025-12-14 at 16:00:00 has been canceled. Hope that helps!
ADD,0,Zoom,2026-3-25,14:00:00,14:30:00,Yoga Class,Yoga Class,Meeting tomorrow,Event 'Yoga Class' has been added on 2026-3-25 from 14:00:00 to 14:30:00 at Zoom. Let me know if you need anything else!
QUERY,0,Coffee Shop,2026-8-6,08:45:00,10:45:00,Client Presentation,Client Presentation,Any meetings today?,You have an event 'Client Presentation' on 2026-8-6 at 08:45:00. Would you like more details?
ADD,0,Conference Room A,2025-5-16,15:00:00,17:00:00,Birthday Party,Birthday Party,I need to set up Birthday Party next Friday at 15:00 at Conference Room A,Event 'Birthday Party' has been added on 2025-5-16 from 15:00:00 to 17:00:00 at Conference Room A. Let me know if you need anything else!
QUERY,0,Online,2026-4-14,08:30:00,09:00:00,Team Meeting,Team Meeting,Do I have any events tomorrow?,You have an event 'Team Meeting' on 2026-4-14 at 08:30:00. Would you like more details?
CHITCHAT,0,,,,,,,Hello! Hope you're doing well.,Glad you reached out—how can I help you today?
QUERY,0,Coffee Shop,2025-5-16,08:45:00,09:15:00,Dentist Appointment,Dentist Appointment,What are my appointments on next Friday?,You have an event 'Dentist Appointment' on 2025-5-16 at 08:45:00. Would you like more details?
QUERY,0,Zoom,2026-6-30,08:45:00,09:45:00,Performance Review,Performance Review,Do I have any events tomorrow?,You have an event 'Performance Review' on 2026-6-30 at 08:45:00. Would you like more details?
CANCEL,0,,2026-2-24,15:45:00,16:45:00,Birthday Party,Birthday Party,Cancel my 3 PM event,Your event 'Birthday Party' scheduled for 2026-2-24 at 15:45:00 has been canceled. Hope that helps!
ADD,0,Online,2026-9-3,11:00:00,12:00:00,Performance Review,Performance Review,Schedule Performance Review for 2026-09-03 11:00 at Online,Event 'Performance Review' has been added on 2026-9-3 from 11:00:00 to 12:00:00 at Online. Let me know if you need anything else!
UPDATE,1,Zoom,2026-10-12,00:00:00,23:59:59,Project Deadline,Project Deadline,Move Project Deadline from 2026-02-28 at 00:00 to 2026-10-12 at 00:00,Got it—I've updated 'Project Deadline' to 2026-10-12 from 00:00:00 to 23:59:59 at Zoom.
ADD,0,Zoom,2025-4-27,13:30:00,14:00:00,Webinar,Webinar,Add Webinar on 2025-04-27 at 13:30 at Zoom,Event 'Webinar' has been added on 2025-4-27 from 13:30:00 to 14:00:00 at Zoom. Let me know if you need anything else!
ADD,0,Online,2025-2-1,17:45:00,18:45:00,Client Presentation,Client Presentation,Meeting tomorrow,Event 'Client Presentation' has been added on 2025-2-1 from 17:45:00 to 18:45:00 at Online. Let me know if you need anything else!
QUERY,0,Home,2026-12-5,16:30:00,17:30:00,Performance Review,Performance Review,Do I have any events tomorrow?,You have an event 'Performance Review' on 2026-12-5 at 16:30:00. Would you like more details?
QUERY,0,Coffee Shop,2025-7-18,11:00:00,12:00:00,Webinar,Webinar,What's on my calendar for 2025-07-18?,You have an event 'Webinar' on 2025-7-18 at 11:00:00. Would you like more details?
QUERY,0,Online,2026-10-16,08:00:00,09:00:00,Dentist Appointment,Dentist Appointment,What's on my calendar for 2026-10-16?,You have an event 'Dentist Appointment' on 2026-10-16 at 08:00:00. Would you like more details?
UPDATE,0,Zoom,2026-1-6,10:30:00,12:30:00,Webinar,Webinar,Update Webinar details for 2025-02-25 at Zoom,Got it—I've updated 'Webinar' to 2026-1-6 from 10:30:00 to 12:30:00 at Zoom.
QUERY,0,Home,2025-12-1,13:00:00,15:00:00,Birthday Party,Birthday Party,What are my appointments on 2025-12-01?,You have an event 'Birthday Party' on 2025-12-1 at 13:00:00. Would you like more details?
ADD,0,Online,2026-9-18,14:45:00,16:45:00,Client Presentation,Client Presentation,Put Client Presentation on my calendar 2026-09-18 at 14:45 at Online,Event 'Client Presentation' has been added on 2026-9-18 from 14:45:00 to 16:45:00 at Online. Let me know if you need anything else!
CANCEL,0,Office,2026-12-27,16:45:00,17:45:00,Client Presentation,Client Presentation,Please remove my Client Presentation scheduled for 2026-12-27 at Office,Your event 'Client Presentation' scheduled for 2026-12-27 at 16:45:00 has been canceled. Hope that helps!
UPDATE,0,Conference Room A,2026-5-23,15:15:00,17:15:00,Team Meeting,Team Meeting,Reschedule Team Meeting to 2026-05-23 at 15:15,Got it—I've updated 'Team Meeting' to 2026-5-23 from 15:15:00 to 17:15:00 at Conference Room A.
ADD,0,,2025-5-16,09:15:00,11:15:00,Coffee Catch-up,Coffee Catch-up,Put Coffee Catch-up on my calendar next Friday at 09:15,Event 'Coffee Catch-up' has been added on 2025-5-16 from 09:15:00 to 11:15:00. Let me know if you need anything else!
CANCEL,0,Office,2025-8-25,09:00:00,10:00:00,Client Presentation,Client Presentation,Cancel Client Presentation on 2025-08-25 at 09:00,Your event 'Client Presentation' scheduled for 2025-8-25 at 09:00:00 has been canceled. Hope that helps!
ADD,0,,2026-1-26,14:30:00,16:30:00,Webinar,Webinar,Add Webinar on 2026-01-26 at 14:30,Event 'Webinar' has been added on 2026-1-26 from 14:30:00 to 16:30:00. Let me know if you need anything else!
CANCEL,0,Home,2025-7-26,08:15:00,10:15:00,Lunch with George,Lunch with George,Please remove my Lunch with George scheduled for 2025-07-26 at Home,Your event 'Lunch with George' scheduled for 2025-7-26 at 08:15:00 has been canceled. Hope that helps!
QUERY,0,Office,2025-3-28,16:45:00,18:45:00,Birthday Party,Birthday Party,What are my appointments on 2025-03-28?,You have an event 'Birthday Party' on 2025-3-28 at 16:45:00. Would you like more details?
QUERY,0,,2025-5-15,13:45:00,14:15:00,Project Deadline,Project Deadline,What are my appointments on tomorrow?,You have an event 'Project Deadline' on 2025-5-15 at 13:45:00. Would you like more details?
UPDATE,0,Office,2025-10-20,16:00:00,16:30:00,Performance Review,Performance Review,Move Performance Review from 2026-05-10 at 14:00 to 2025-10-20 at 16:00,Got it—I've updated 'Performance Review' to 2025-10-20 from 16:00:00 to 16:30:00 at Office.
CHITCHAT,0,,,,,,,"What a lovely day, isn't it?",Glad you reached out—how can I help you today?
CANCEL,0,Coffee Shop,2025-9-8,09:00:00,11:00:00,Webinar,Webinar,Cancel Webinar on 2025-09-08 at 09:00,Your event 'Webinar' scheduled for 2025-9-8 at 09:00:00 has been canceled. Hope that helps!
ADD,0,Zoom,2026-10-18,15:30:00,16:00:00,Yoga Class,Yoga Class,Schedule Yoga Class for 2026-10-18 15:30 at Zoom,Event 'Yoga Class' has been added on 2026-10-18 from 15:30:00 to 16:00:00 at Zoom. Let me know if you need anything else!
QUERY,1,Office,2025-8-14,00:00:00,23:59:59,Client Presentation,Client Presentation,What's on my calendar for 2025-08-14?,You have an event 'Client Presentation' on 2025-8-14 at 00:00:00. Would you like more details?
CANCEL,0,Home,2025-5-16,14:45:00,15:45:00,Coffee Catch-up,Coffee Catch-up,Cancel Coffee Catch-up on next Friday at 14:45,Your event 'Coffee Catch-up' scheduled for 2025-5-16 at 14:45:00 has been canceled. Hope that helps!
UPDATE,0,Office,2026-12-8,14:15:00,15:15:00,Team Meeting,Team Meeting,Change the time of Team Meeting on 2025-06-05 to 14:15,Got it—I've updated 'Team Meeting' to 2026-12-8 from 14:15:00 to 15:15:00 at Office.
CHITCHAT,0,,,,,,,"What a lovely day, isn't it?",Glad you reached out—how can I help you today?
QUERY,0,Home,2025-8-25,16:30:00,18:30:00,Yoga Class,Yoga Class,Do I have any events tomorrow?,You have an event 'Yoga Class' on 2025-8-25 at 16:30:00. Would you like more details?
CHITCHAT,0,,,,,,,Hello! Hope you're doing well.,Glad you reached out—how can I help you today?
CANCEL,0,Zoom,2025-4-10,13:45:00,14:15:00,Lunch with George,Lunch with George,Please remove my Lunch with George scheduled for 2025-04-10 at Zoom,Your event 'Lunch with George' scheduled for 2025-4-10 at 13:45:00 has been canceled. Hope that helps!
ADD,0,,2025-3-29,12:45:00,13:45:00,Coffee Catch-up,Coffee Catch-up,I need to set up Coffee Catch-up 2025-03-29 at 12:45,Event 'Coffee Catch-up' has been added on 2025-3-29 from 12:45:00 to 13:45:00. Let me know if you need anything else!
UPDATE,0,Online,2026-11-3,17:30:00,18:00:00,Webinar,Webinar,Move Webinar from 2025-06-10 at 15:45 to 2026-11-03 at 17:30,Got it—I've updated 'Webinar' to 2026-11-3 from 17:30:00 to 18:00:00 at Online.
ADD,0,Coffee Shop,2026-3-30,17:45:00,18:45:00,Team Meeting,Team Meeting,Add Team Meeting on 2026-03-30 at 17:45 at Coffee Shop,Event 'Team Meeting' has been added on 2026-3-30 from 17:45:00 to 18:45:00 at Coffee Shop. Let me know if you need anything else!
CANCEL,0,Conference Room A,2025-5-16,12:30:00,13:30:00,Client Presentation,Client Presentation,Please remove my Client Presentation scheduled for next Friday at Conference Room A,Your event 'Client Presentation' scheduled for 2025-5-16 at 12:30:00 has been canceled. Hope that helps!
UPDATE,1,,2026-1-18,00:00:00,23:59:59,Yoga Class,Yoga Class,Reschedule Yoga Class to 2026-01-18 at 00:00,Got it—I've updated 'Yoga Class' to 2026-1-18 from 00:00:00 to 23:59:59.
ADD,0,,2025-5-15,10:15:00,12:15:00,Performance Review,Performance Review,Put Performance Review on my calendar tomorrow at 10:15,Event 'Performance Review' has been added on 2025-5-15 from 10:15:00 to 12:15:00. Let me know if you need anything else!
QUERY,0,,2025-5-15,09:30:00,10:00:00,Client Presentation,Client Presentation,Show me events next Monday,You have an event 'Client Presentation' on 2025-5-15 at 09:30:00. Would you like more details?
CHITCHAT,0,,,,,,,Hey there! How's it going?,Glad you reached out—how can I help you today?
UPDATE,0,Coffee Shop,2025-1-6,16:00:00,17:00:00,Client Presentation,Client Presentation,Change the time of Client Presentation on 2026-06-20 to 16:00,Got it—I've updated 'Client Presentation' to 2025-1-6 from 16:00:00 to 17:00:00 at Coffee Shop.
CANCEL,0,Zoom,2026-12-19,12:30:00,13:00:00,Birthday Party,Birthday Party,Cancel my 3 PM event,Your event 'Birthday Party' scheduled for 2026-12-19 at 12:30:00 has been canceled. Hope that helps!
CANCEL,0,Coffee Shop,2025-8-14,11:15:00,11:45:00,Yoga Class,Yoga Class,Please remove my Yoga Class scheduled for 2025-08-14 at Coffee Shop,Your event 'Yoga Class' scheduled for 2025-8-14 at 11:15:00 has been canceled. Hope that helps!
ADD,0,Online,2025-4-12,15:15:00,17:15:00,Team Meeting,Team Meeting,Meeting tomorrow,Event 'Team Meeting' has been added on 2025-4-12 from 15:15:00 to 17:15:00 at Online. Let me know if you need anything else!
CHITCHAT,0,,,,,,,Hello! Hope you're doing well.,Glad you reached out—how can I help you today?
QUERY,0,Online,2025-5-14,17:30:00,19:30:00,Project Deadline,Project Deadline,What's on my calendar for today?,You have an event 'Project Deadline' on 2025-5-14 at 17:30:00. Would you like more details?
ADD,0,,2025-8-24,11:30:00,12:30:00,Webinar,Webinar,I need to set up Webinar 2025-08-24 at 11:30,Event 'Webinar' has been added on 2025-8-24 from 11:30:00 to 12:30:00. Let me know if you need anything else!
UPDATE,0,Online,2025-6-26,11:00:00,11:30:00,Webinar,Webinar,Reschedule Webinar to 2025-06-26 at 11:00,Got it—I've updated 'Webinar' to 2025-6-26 from 11:00:00 to 11:30:00 at Online.
QUERY,0,,2026-4-25,12:45:00,14:45:00,Dentist Appointment,Dentist Appointment,What's on my calendar for 2026-04-25?,You have an event 'Dentist Appointment' on 2026-4-25 at 12:45:00. Would you like more details?
CANCEL,0,Online,2025-5-14,12:15:00,14:15:00,Client Presentation,Client Presentation,Please remove my Client Presentation scheduled for today at Online,Your event 'Client Presentation' scheduled for 2025-5-14 at 12:15:00 has been canceled. Hope that helps!
ADD,0,Online,2025-1-24,11:15:00,11:45:00,Project Deadline,Project Deadline,I need to set up Project Deadline 2025-01-24 at 11:15 at Online,Event 'Project Deadline' has been added on 2025-1-24 from 11:15:00 to 11:45:00 at Online. Let me know if you need anything else!
CANCEL,0,Home,2026-4-14,10:45:00,11:15:00,Birthday Party,Birthday Party,Please remove my Birthday Party scheduled for 2026-04-14 at Home,Your event 'Birthday Party' scheduled for 2026-4-14 at 10:45:00 has been canceled. Hope that helps!
ADD,0,Conference Room A,2025-5-14,13:30:00,15:30:00,Yoga Class,Yoga Class,Add Yoga Class on today at 13:30 at Conference Room A,Event 'Yoga Class' has been added on 2025-5-14 from 13:30:00 to 15:30:00 at Conference Room A. Let me know if you need anything else!
QUERY,1,Online,2026-5-23,00:00:00,23:59:59,Team Meeting,Team Meeting,Do I have any events tomorrow?,You have an event 'Team Meeting' on 2026-5-23 at 00:00:00. Would you like more details?
CHITCHAT,0,,,,,,,How are you today?,Glad you reached out—how can I help you today?
ADD,0,Zoom,2025-8-9,11:00:00,11:30:00,Dentist Appointment,Dentist Appointment,Meeting tomorrow,Event 'Dentist Appointment' has been added on 2025-8-9 from 11:00:00 to 11:30:00 at Zoom. Let me know if you need anything else!
ADD,0,Zoom,2026-12-20,10:15:00,10:45:00,Birthday Party,Birthday Party,Schedule Birthday Party for 2026-12-20 10:15 at Zoom,Event 'Birthday Party' has been added on 2026-12-20 from 10:15:00 to 10:45:00 at Zoom. Let me know if you need anything else!
CHITCHAT,0,,,,,,,Hey there! How's it going?,Glad you reached out—how can I help you today?
CHITCHAT,0,,,,,,,"What a lovely day, isn't it?",Glad you reached out—how can I help you today?
ADD,0,Home,2026-2-26,12:30:00,13:00:00,Birthday Party,Birthday Party,Meeting tomorrow,Event 'Birthday Party' has been added on 2026-2-26 from 12:30:00 to 13:00:00 at Home. Let me know if you need anything else!
QUERY,0,Office,2026-7-22,10:15:00,10:45:00,Client Presentation,Client Presentation,Show me events next Monday,You have an event 'Client Presentation' on 2026-7-22 at 10:15:00. Would you like more details?
ADD,0,,2026-2-7,12:15:00,12:45:00,Dentist Appointment,Dentist Appointment,Put Dentist Appointment on my calendar 2026-02-07 at 12:15,Event 'Dentist Appointment' has been added on 2026-2-7 from 12:15:00 to 12:45:00. Let me know if you need anything else!
QUERY,0,,2026-3-16,12:15:00,13:15:00,Webinar,Webinar,What's on my calendar for 2026-03-16?,You have an event 'Webinar' on 2026-3-16 at 12:15:00. Would you like more details?
UPDATE,0,Online,2025-8-13,14:15:00,14:45:00,Coffee Catch-up,Coffee Catch-up,Update Coffee Catch-up details for 2026-08-01 at Online,Got it—I've updated 'Coffee Catch-up' to 2025-8-13 from 14:15:00 to 14:45:00 at Online.
CHITCHAT,0,,,,,,,"What a lovely day, isn't it?",Glad you reached out—how can I help you today?
CANCEL,0,Home,2026-4-6,15:30:00,16:30:00,Dentist Appointment,Dentist Appointment,Cancel Dentist Appointment on 2026-04-06 at 15:30,Your event 'Dentist Appointment' scheduled for 2026-4-6 at 15:30:00 has been canceled. Hope that helps!
ADD,0,Coffee Shop,2025-5-16,11:45:00,13:45:00,Team Meeting,Team Meeting,Schedule Team Meeting for next Friday 11:45 at Coffee Shop,Event 'Team Meeting' has been added on 2025-5-16 from 11:45:00 to 13:45:00 at Coffee Shop. Let me know if you need anything else!
CANCEL,0,Zoom,2025-8-3,09:00:00,10:00:00,Dentist Appointment,Dentist Appointment,Delete Dentist Appointment on 2025-08-03 at 09:00,Your event 'Dentist Appointment' scheduled for 2025-8-3 at 09:00:00 has been canceled. Hope that helps!
ADD,0,Zoom,2025-7-9,09:15:00,11:15:00,Coffee Catch-up,Coffee Catch-up,Meeting tomorrow,Event 'Coffee Catch-up' has been added on 2025-7-9 from 09:15:00 to 11:15:00 at Zoom. Let me know if you need anything else!
ADD,0,Coffee Shop,2026-7-8,16:15:00,17:15:00,Dentist Appointment,Dentist Appointment,Meeting tomorrow,Event 'Dentist Appointment' has been added on 2026-7-8 from 16:15:00 to 17:15:00 at Coffee Shop. Let me know if you need anything else!
QUERY,0,Online,2025-2-4,17:45:00,18:45:00,Client Presentation,Client Presentation,Any meetings today?,You have an event 'Client Presentation' on 2025-2-4 at 17:45:00. Would you like more details?
ADD,0,Coffee Shop,2025-11-10,16:15:00,17:15:00,Project Deadline,Project Deadline,Put Project Deadline on my calendar 2025-11-10 at 16:15 at Coffee Shop,Event 'Project Deadline' has been added on 2025-11-10 from 16:15:00 to 17:15:00 at Coffee Shop. Let me know if you need anything else!
QUERY,0,Online,2026-3-29,11:15:00,12:15:00,Webinar,Webinar,Do I have any events tomorrow?,You have an event 'Webinar' on 2026-3-29 at 11:15:00. Would you like more details?
ADD,0,Home,2026-8-6,11:15:00,12:15:00,Webinar,Webinar,Add Webinar on 2026-08-06 at 11:15 at Home,Event 'Webinar' has been added on 2026-8-6 from 11:15:00 to 12:15:00 at Home. Let me know if you need anything else!
ADD,0,Home,2026-8-17,13:00:00,15:00:00,Dentist Appointment,Dentist Appointment,Meeting tomorrow,Event 'Dentist Appointment' has been added on 2026-8-17 from 13:00:00 to 15:00:00 at Home. Let me know if you need anything else!
ADD,0,Zoom,2025-2-22,12:30:00,13:30:00,Client Presentation,Client Presentation,Put Client Presentation on my calendar 2025-02-22 at 12:30 at Zoom,Event 'Client Presentation' has been added on 2025-2-22 from 12:30:00 to 13:30:00 at Zoom. Let me know if you need anything else!
CHITCHAT,0,,,,,,,Hey there! How's it going?,Glad you reached out—how can I help you today?
CHITCHAT,0,,,,,,,Hey there! How's it going?,Glad you reached out—how can I help you today?
UPDATE,0,Home,2025-11-21,15:00:00,15:30:00,Coffee Catch-up,Coffee Catch-up,Change the time of Coffee Catch-up on today to 15:00,Got it—I've updated 'Coffee Catch-up' to 2025-11-21 from 15:00:00 to 15:30:00 at Home.
CANCEL,0,Online,2025-4-25,17:15:00,19:15:00,Client Presentation,Client Presentation,Please remove my Client Presentation scheduled for 2025-04-25 at Online,Your event 'Client Presentation' scheduled for 2025-4-25 at 17:15:00 has been canceled. Hope that helps!
QUERY,0,Online,2026-12-3,15:15:00,15:45:00,Client Presentation,Client Presentation,What's on my calendar for 2026-12-03?,You have an event 'Client Presentation' on 2026-12-3 at 15:15:00. Would you like more details?
CHITCHAT,0,,,,,,,Hey there! How's it going?,Glad you reached out—how can I help you today?
UPDATE,0,Zoom,2026-8-21,17:45:00,19:45:00,Project Deadline,Project Deadline,Update Project Deadline details for 2025-06-13 at Zoom,Got it—I've updated 'Project Deadline' to 2026-8-21 from 17:45:00 to 19:45:00 at Zoom.
ADD,0,Coffee Shop,2025-7-18,08:30:00,09:00:00,Team Meeting,Team Meeting,Meeting tomorrow,Event 'Team Meeting' has been added on 2025-7-18 from 08:30:00 to 09:00:00 at Coffee Shop. Let me know if you need anything else!
CANCEL,0,Online,2026-4-3,13:00:00,14:00:00,Dentist Appointment,Dentist Appointment,Cancel Dentist Appointment on 2026-04-03 at 13:00,Your event 'Dentist Appointment' scheduled for 2026-4-3 at 13:00:00 has been canceled. Hope that helps!
CHITCHAT,0,,,,,,,Hey there! How's it going?,Glad you reached out—how can I help you today?
CANCEL,0,Office,2025-5-16,17:00:00,18:00:00,Dentist Appointment,Dentist Appointment,Delete Dentist Appointment on next Friday at 17:00,Your event 'Dentist Appointment' scheduled for 2025-5-16 at 17:00:00 has been canceled. Hope that helps!
CANCEL,1,Zoom,2025-5-26,00:00:00,23:59:59,Yoga Class,Yoga Class,Delete Yoga Class on 2025-05-26 at 00:00,Your event 'Yoga Class' scheduled for 2025-5-26 at 00:00:00 has been canceled. Hope that helps!
ADD,0,Home,2026-3-4,09:45:00,10:45:00,Dentist Appointment,Dentist Appointment,Add Dentist Appointment on 2026-03-04 at 09:45 at Home,Event 'Dentist Appointment' has been added on 2026-3-4 from 09:45:00 to 10:45:00 at Home. Let me know if you need anything else!
CANCEL,0,,2026-8-12,09:15:00,09:45:00,Project Deadline,Project Deadline,Delete Project Deadline on 2026-08-12 at 09:15,Your event 'Project Deadline' scheduled for 2026-8-12 at 09:15:00 has been canceled. Hope that helps!
QUERY,0,Office,2025-12-12,13:45:00,15:45:00,Birthday Party,Birthday Party,Any meetings today?,You have an event 'Birthday Party' on 2025-12-12 at 13:45:00. Would you like more details?
CHITCHAT,0,,,,,,,Good morning! Ready for the day?,Glad you reached out—how can I help you today?
CHITCHAT,0,,,,,,,Hey there! How's it going?,Glad you reached out—how can I help you today?
CANCEL,0,Home,2025-2-17,13:45:00,14:15:00,Dentist Appointment,Dentist Appointment,Cancel Dentist Appointment on 2025-02-17 at 13:45,Your event 'Dentist Appointment' scheduled for 2025-2-17 at 13:45:00 has been canceled. Hope that helps!
CANCEL,0,Coffee Shop,2025-12-7,12:15:00,14:15:00,Team Meeting,Team Meeting,Cancel my 3 PM event,Your event 'Team Meeting' scheduled for 2025-12-7 at 12:15:00 has been canceled. Hope that helps!
CHITCHAT,0,,,,,,,Hello! Hope you're doing well.,Glad you reached out—how can I help you today?
ADD,0,Office,2025-5-15,16:15:00,17:15:00,Webinar,Webinar,Put Webinar on my calendar tomorrow at 16:15 at Office,Event 'Webinar' has been added on 2025-5-15 from 16:15:00 to 17:15:00 at Office. Let me know if you need anything else!
QUERY,0,Conference Room A,2026-7-20,11:00:00,13:00:00,Client Presentation,Client Presentation,Do I have any events tomorrow?,You have an event 'Client Presentation' on 2026-7-20 at 11:00:00. Would you like more details?
CANCEL,0,Conference Room A,2025-5-14,08:15:00,09:15:00,Yoga Class,Yoga Class,Cancel my 3 PM event,Your event 'Yoga Class' scheduled for 2025-5-14 at 08:15:00 has been canceled. Hope that helps!
ADD,0,Online,2026-9-24,10:15:00,10:45:00,Coffee Catch-up,Coffee Catch-up,I need to set up Coffee Catch-up 2026-09-24 at 10:15 at Online,Event 'Coffee Catch-up' has been added on 2026-9-24 from 10:15:00 to 10:45:00 at Online. Let me know if you need anything else!
ADD,0,Home,2026-5-18,14:15:00,14:45:00,Birthday Party,Birthday Party,I need to set up Birthday Party 2026-05-18 at 14:15 at Home,Event 'Birthday Party' has been added on 2026-5-18 from 14:15:00 to 14:45:00 at Home. Let me know if you need anything else!
CANCEL,0,Online,2025-4-30,14:00:00,14:30:00,Birthday Party,Birthday Party,Please remove my Birthday Party scheduled for 2025-04-30 at Online,Your event 'Birthday Party' scheduled for 2025-4-30 at 14:00:00 has been canceled. Hope that helps!
CANCEL,0,Zoom,2025-5-16,12:00:00,14:00:00,Client Presentation,Client Presentation,Cancel my 3 PM event,Your event 'Client Presentation' scheduled for 2025-5-16 at 12:00:00 has been canceled. Hope that helps!
ADD,0,Home,2026-12-29,08:00:00,09:00:00,Lunch with Diana,Lunch with Diana,Schedule Lunch with Diana for 2026-12-29 08:00 at Home,Event 'Lunch with Diana' has been added on 2026-12-29 from 08:00:00 to 09:00:00 at Home. Let me know if you need anything else!
ADD,0,Home,2026-5-16,10:45:00,12:45:00,Project Deadline,Project Deadline,Meeting tomorrow,Event 'Project Deadline' has been added on 2026-5-16 from 10:45:00 to 12:45:00 at Home. Let me know if you need anything else!
QUERY,0,Home,2026-7-25,09:30:00,10:30:00,Lunch with Alice,Lunch with Alice,What's on my calendar for 2026-07-25?,You have an event 'Lunch with Alice' on 2026-7-25 at 09:30:00. Would you like more details?
CANCEL,0,Office,2026-10-9,11:15:00,13:15:00,Lunch with Fiona,Lunch with Fiona,Cancel my 3 PM event,Your event 'Lunch with Fiona' scheduled for 2026-10-9 at 11:15:00 has been canceled. Hope that helps!
