text,intent,title,description,response,date,startTime,endTime,location,isAllDay
Move Project Review to tomorrow at 8:00,UPDATE,Project Review,Review project milestones,"Sure, I've updated 'Project Review' to 2025-5-15 from 08:00:00 to 09:30:00.",2025-5-15,08:00:00,09:30:00,,False
Add AI Trends Webinar all day on next Tuesday at Zoom,ADD,AI Trends Webinar,Online AI seminar,"Great, I've added 'AI Trends Webinar' on 2025-5-20 from 00:00:00 to 23:59:59 at Zoom. Let me know if you need anything else!",2025-5-20,00:00:00,23:59:59,Zoom,True
"Reschedule my Dentist Visit to September 3, 2026 at 8:00 at Zoom",UPDATE,Dentist Visit,Dental check-up,"Sure, I've updated 'Dentist Visit' to 2026-9-3 from 08:00:00 to 08:30:00 at Zoom.",2026-9-3,08:00:00,08:30:00,Zoom,False
"Add Doctor Appointment all day on December 1, 2025 at Clinic",ADD,Doctor Appointment,Health check-up,"Great, I've added 'Doctor Appointment' on 2025-12-1 from 00:00:00 to 23:59:59 at Clinic. Let me know if you need anything else!",2025-12-1,00:00:00,23:59:59,Clinic,True
"Add Birthday Party January 14, 2026 at 9:30 AM at Gym at Gym",ADD,Birthday Party,Celebrate birthday,"Great, I've added 'Birthday Party' on 2026-1-14 from 09:00:00 to 11:00:00 at Gym. Let me know if you need anything else!",2026-1-14,09:00:00,11:00:00,Gym,False
Add Lunch with John next Wednesday at 8:00 at Cafe Rio at Cafe Rio,ADD,Lunch with John,Casual lunch,"Great, I've added 'Lunch with John' on 2025-5-21 from 08:00:00 to 09:00:00 at Cafe Rio. Let me know if you need anything else!",2025-5-21,08:00:00,09:00:00,Cafe Rio,False
"Add Marketing Presentation all day on May 17, 2025 at Teams",ADD,Marketing Presentation,Present marketing strategy,"Great, I've added 'Marketing Presentation' on 2025-5-17 from 00:00:00 to 23:59:59 at Teams. Let me know if you need anything else!",2025-5-17,00:00:00,23:59:59,Teams,True
"Update Coffee with Sarah date to August 10, 2026 and time to 11 AM at Zoom",UPDATE,Coffee with Sarah,Catch-up over coffee,"Sure, I've updated 'Coffee with Sarah' to 2026-8-10 from 11:00:00 to 12:30:00 at Zoom.",2026-8-10,11:00:00,12:30:00,Zoom,False
"Add Dentist Visit July 3, 2026 at 9:30 AM at Google Meet at Google Meet",ADD,Dentist Visit,Dental check-up,"Great, I've added 'Dentist Visit' on 2026-7-3 from 09:00:00 to 11:00:00 at Google Meet. Let me know if you need anything else!",2026-7-3,09:00:00,11:00:00,Google Meet,False
Add Interview with Candidate next Wednesday at 14:00 at Clinic at Clinic,ADD,Interview with Candidate,Candidate interview,"Great, I've added 'Interview with Candidate' on 2025-5-21 from 14:00:00 to 16:00:00 at Clinic. Let me know if you need anything else!",2025-5-21,14:00:00,16:00:00,Clinic,False
Cancel my 3 PM event,CANCEL,3 PM event,3 PM event,Your event '3 PM event' on 2026-10-18 at 15:00:00 has been canceled. Let me know if there's anything else I can do!,2026-10-18,15:00:00,16:00:00,,False
Reschedule my Dentist Visit to next Monday at 11 AM at Clinic,UPDATE,Dentist Visit,Dental check-up,"Sure, I've updated 'Dentist Visit' to 2025-5-19 from 11:00:00 to 13:00:00 at Clinic.",2025-5-19,11:00:00,13:00:00,Clinic,False
Add AI Trends Webinar next Monday at 9:30 AM at Cafe Rio at Cafe Rio,ADD,AI Trends Webinar,Online AI seminar,"Great, I've added 'AI Trends Webinar' on 2025-5-19 from 09:00:00 to 09:30:00 at Cafe Rio. Let me know if you need anything else!",2025-5-19,09:00:00,09:30:00,Cafe Rio,False
"Change time of Board Meeting to 9:30 AM on September 24, 2025 at Clinic",UPDATE,Board Meeting,High-level board discussion,"Sure, I've updated 'Board Meeting' to 2025-9-24 from 09:00:00 to 10:30:00 at Clinic.",2025-9-24,09:00:00,10:30:00,Clinic,False
Update Coffee with Sarah date to next Monday and time to 14:00 at Home,UPDATE,Coffee with Sarah,Catch-up over coffee,"Sure, I've updated 'Coffee with Sarah' to 2025-5-19 from 14:00:00 to 14:30:00 at Home.",2025-5-19,14:00:00,14:30:00,Home,False
"Cancel my all-day Yoga Class on August 31, 2025",CANCEL,Yoga Class,Morning yoga session,Your event 'Yoga Class' on 2025-8-31 at 00:00:00 has been canceled. Let me know if there's anything else I can do!,2025-8-31,00:00:00,23:59:59,Zoom,True
Cancel my all-day Dentist Visit on day after tomorrow,CANCEL,Dentist Visit,Dental check-up,Your event 'Dentist Visit' on 2025-5-16 at 00:00:00 has been canceled. Let me know if there's anything else I can do!,2025-5-16,00:00:00,23:59:59,Cafe Rio,True
"Add Project Review October 10, 2026 at 9:30 AM at Gym at Gym",ADD,Project Review,Review project milestones,"Great, I've added 'Project Review' on 2026-10-10 from 09:00:00 to 10:00:00 at Gym. Let me know if you need anything else!",2026-10-10,09:00:00,10:00:00,Gym,False
"Add Birthday Party August 5, 2025 at 3 PM",ADD,Birthday Party,Celebrate birthday,"Great, I've added 'Birthday Party' on 2025-8-5 from 15:00:00 to 17:00:00. Let me know if you need anything else!",2025-8-5,15:00:00,17:00:00,,False
"Add Dentist Visit August 2, 2025 at 11 AM at Clinic at Clinic",ADD,Dentist Visit,Dental check-up,"Great, I've added 'Dentist Visit' on 2025-8-2 from 11:00:00 to 12:30:00 at Clinic. Let me know if you need anything else!",2025-8-2,11:00:00,12:30:00,Clinic,False
Cancel my Conference Call next Wednesday at 3 PM,CANCEL,Conference Call,Call with team,Your event 'Conference Call' on 2025-5-21 at 15:00:00 has been canceled. Let me know if there's anything else I can do!,2025-5-21,15:00:00,16:00:00,Zoom,False
Cancel my Interview with Candidate next Monday at 16:45,CANCEL,Interview with Candidate,Candidate interview,Your event 'Interview with Candidate' on 2025-5-19 at 16:45:00 has been canceled. Let me know if there's anything else I can do!,2025-5-19,16:45:00,18:45:00,Google Meet,False
"Add Project Review July 21, 2026 at 8:00 at Cafe Rio at Cafe Rio",ADD,Project Review,Review project milestones,"Great, I've added 'Project Review' on 2026-7-21 from 08:00:00 to 08:30:00 at Cafe Rio. Let me know if you need anything else!",2026-7-21,08:00:00,08:30:00,Cafe Rio,False
Add Board Meeting next Tuesday at 3 PM at Clinic at Clinic,ADD,Board Meeting,High-level board discussion,"Great, I've added 'Board Meeting' on 2025-5-20 from 15:00:00 to 16:30:00 at Clinic. Let me know if you need anything else!",2025-5-20,15:00:00,16:30:00,Clinic,False
Add Team Meeting tomorrow at 14:00 at Gym at Gym,ADD,Team Meeting,Weekly sync-up,"Great, I've added 'Team Meeting' on 2025-5-15 from 14:00:00 to 14:30:00 at Gym. Let me know if you need anything else!",2025-5-15,14:00:00,14:30:00,Gym,False
"Cancel my Dentist Visit January 9, 2026 at 9:30 AM",CANCEL,Dentist Visit,Dental check-up,Your event 'Dentist Visit' on 2026-1-9 at 09:00:00 has been canceled. Let me know if there's anything else I can do!,2026-1-9,09:00:00,09:30:00,Gym,False
"Add Doctor Appointment January 29, 2026 at 16:45 at Cafe Rio at Cafe Rio",ADD,Doctor Appointment,Health check-up,"Great, I've added 'Doctor Appointment' on 2026-1-29 from 16:45:00 to 18:15:00 at Cafe Rio. Let me know if you need anything else!",2026-1-29,16:45:00,18:15:00,Cafe Rio,False
Change time of Doctor Appointment to 8:00 on next Thursday at Google Meet,UPDATE,Doctor Appointment,Health check-up,"Sure, I've updated 'Doctor Appointment' to 2025-5-15 from 08:00:00 to 09:00:00 at Google Meet.",2025-5-15,08:00:00,09:00:00,Google Meet,False
Move Marketing Presentation to next Monday at 9:30 AM,UPDATE,Marketing Presentation,Present marketing strategy,"Sure, I've updated 'Marketing Presentation' to 2025-5-19 from 09:00:00 to 09:30:00.",2025-5-19,09:00:00,09:30:00,,False
Add Conference Call next Friday at 9:30 AM at Clinic at Clinic,ADD,Conference Call,Call with team,"Great, I've added 'Conference Call' on 2025-5-16 from 09:00:00 to 09:30:00 at Clinic. Let me know if you need anything else!",2025-5-16,09:00:00,09:30:00,Clinic,False
Cancel my Team Meeting day after tomorrow at 9:30 AM,CANCEL,Team Meeting,Weekly sync-up,Your event 'Team Meeting' on 2025-5-16 at 09:00:00 has been canceled. Let me know if there's anything else I can do!,2025-5-16,09:00:00,11:00:00,,False
Move Project Review to next Wednesday at 8:00 at Teams,UPDATE,Project Review,Review project milestones,"Sure, I've updated 'Project Review' to 2025-5-21 from 08:00:00 to 09:30:00 at Teams.",2025-5-21,08:00:00,09:30:00,Teams,False
Move Data Workshop to next Friday at 16:45 at Clinic,UPDATE,Data Workshop,Hands-on data workshop,"Sure, I've updated 'Data Workshop' to 2025-5-16 from 16:45:00 to 17:15:00 at Clinic.",2025-5-16,16:45:00,17:15:00,Clinic,False
"Add Team Meeting December 21, 2026 at 11 AM at Cafe Rio at Cafe Rio",ADD,Team Meeting,Weekly sync-up,"Great, I've added 'Team Meeting' on 2026-12-21 from 11:00:00 to 11:30:00 at Cafe Rio. Let me know if you need anything else!",2026-12-21,11:00:00,11:30:00,Cafe Rio,False
"Add Interview with Candidate October 27, 2026 at 11 AM",ADD,Interview with Candidate,Candidate interview,"Great, I've added 'Interview with Candidate' on 2026-10-27 from 11:00:00 to 12:30:00. Let me know if you need anything else!",2026-10-27,11:00:00,12:30:00,,False
"Add Yoga Class July 30, 2025 at 8:00 at Clinic at Clinic",ADD,Yoga Class,Morning yoga session,"Great, I've added 'Yoga Class' on 2025-7-30 from 08:00:00 to 09:00:00 at Clinic. Let me know if you need anything else!",2025-7-30,08:00:00,09:00:00,Clinic,False
Reschedule my Marketing Presentation to next Friday at 3 PM at Office,UPDATE,Marketing Presentation,Present marketing strategy,"Sure, I've updated 'Marketing Presentation' to 2025-5-16 from 15:00:00 to 16:30:00 at Office.",2025-5-16,15:00:00,16:30:00,Office,False
"Add Board Meeting June 18, 2026 at 11 AM",ADD,Board Meeting,High-level board discussion,"Great, I've added 'Board Meeting' on 2026-6-18 from 11:00:00 to 12:30:00. Let me know if you need anything else!",2026-6-18,11:00:00,12:30:00,,False
"Update Data Workshop date to June 1, 2025 and time to 11 AM at Gym",UPDATE,Data Workshop,Hands-on data workshop,"Sure, I've updated 'Data Workshop' to 2025-6-1 from 11:00:00 to 12:30:00 at Gym.",2025-6-1,11:00:00,12:30:00,Gym,False
"Move Dentist Visit to December 24, 2026 at 11 AM at Cafe Rio",UPDATE,Dentist Visit,Dental check-up,"Sure, I've updated 'Dentist Visit' to 2026-12-24 from 11:00:00 to 11:30:00 at Cafe Rio.",2026-12-24,11:00:00,11:30:00,Cafe Rio,False
Add Yoga Class next Tuesday at 11 AM at Main Conference Room at Main Conference Room,ADD,Yoga Class,Morning yoga session,"Great, I've added 'Yoga Class' on 2025-5-20 from 11:00:00 to 12:00:00 at Main Conference Room. Let me know if you need anything else!",2025-5-20,11:00:00,12:00:00,Main Conference Room,False
"Add Doctor Appointment June 7, 2025 at 3 PM at Zoom at Zoom",ADD,Doctor Appointment,Health check-up,"Great, I've added 'Doctor Appointment' on 2025-6-7 from 15:00:00 to 16:00:00 at Zoom. Let me know if you need anything else!",2025-6-7,15:00:00,16:00:00,Zoom,False
"Cancel my Team Meeting November 25, 2025 at 8:00",CANCEL,Team Meeting,Weekly sync-up,Your event 'Team Meeting' on 2025-11-25 at 08:00:00 has been canceled. Let me know if there's anything else I can do!,2025-11-25,08:00:00,09:00:00,Office,False
"Cancel my Team Meeting November 18, 2026 at 3 PM",CANCEL,Team Meeting,Weekly sync-up,Your event 'Team Meeting' on 2026-11-18 at 15:00:00 has been canceled. Let me know if there's anything else I can do!,2026-11-18,15:00:00,17:00:00,Clinic,False
Cancel my Marketing Presentation tomorrow at 11 AM,CANCEL,Marketing Presentation,Present marketing strategy,Your event 'Marketing Presentation' on 2025-5-15 at 11:00:00 has been canceled. Let me know if there's anything else I can do!,2025-5-15,11:00:00,11:30:00,Google Meet,False
Add Team Meeting next Monday at 11 AM at Zoom at Zoom,ADD,Team Meeting,Weekly sync-up,"Great, I've added 'Team Meeting' on 2025-5-19 from 11:00:00 to 12:30:00 at Zoom. Let me know if you need anything else!",2025-5-19,11:00:00,12:30:00,Zoom,False
Add Doctor Appointment all day on next Tuesday at Office,ADD,Doctor Appointment,Health check-up,"Great, I've added 'Doctor Appointment' on 2025-5-20 from 00:00:00 to 23:59:59 at Office. Let me know if you need anything else!",2025-5-20,00:00:00,23:59:59,Office,True
Add Marketing Presentation next Monday at 16:45 at Google Meet at Google Meet,ADD,Marketing Presentation,Present marketing strategy,"Great, I've added 'Marketing Presentation' on 2025-5-19 from 16:45:00 to 17:15:00 at Google Meet. Let me know if you need anything else!",2025-5-19,16:45:00,17:15:00,Google Meet,False
"Add Conference Call May 18, 2026 at 11 AM at Office at Office",ADD,Conference Call,Call with team,"Great, I've added 'Conference Call' on 2026-5-18 from 11:00:00 to 13:00:00 at Office. Let me know if you need anything else!",2026-5-18,11:00:00,13:00:00,Office,False
"Add Coffee with Sarah January 4, 2027 at 9:30 AM at Zoom at Zoom",ADD,Coffee with Sarah,Catch-up over coffee,"Great, I've added 'Coffee with Sarah' on 2027-1-4 from 09:00:00 to 10:00:00 at Zoom. Let me know if you need anything else!",2027-1-4,09:00:00,10:00:00,Zoom,False
Add Data Workshop all day on next Friday,ADD,Data Workshop,Hands-on data workshop,"Great, I've added 'Data Workshop' on 2025-5-16 from 00:00:00 to 23:59:59. Let me know if you need anything else!",2025-5-16,00:00:00,23:59:59,,True
Add Yoga Class next Thursday at 16:45 at Google Meet at Google Meet,ADD,Yoga Class,Morning yoga session,"Great, I've added 'Yoga Class' on 2025-5-15 from 16:45:00 to 17:45:00 at Google Meet. Let me know if you need anything else!",2025-5-15,16:45:00,17:45:00,Google Meet,False
"Cancel my Interview with Candidate March 13, 2026 at 14:00",CANCEL,Interview with Candidate,Candidate interview,Your event 'Interview with Candidate' on 2026-3-13 at 14:00:00 has been canceled. Let me know if there's anything else I can do!,2026-3-13,14:00:00,15:30:00,Home,False
Update Data Workshop date to next Thursday and time to 8:00 at Gym,UPDATE,Data Workshop,Hands-on data workshop,"Sure, I've updated 'Data Workshop' to 2025-5-15 from 08:00:00 to 09:30:00 at Gym.",2025-5-15,08:00:00,09:30:00,Gym,False
Cancel my Data Workshop next Wednesday at 3 PM,CANCEL,Data Workshop,Hands-on data workshop,Your event 'Data Workshop' on 2025-5-21 at 15:00:00 has been canceled. Let me know if there's anything else I can do!,2025-5-21,15:00:00,15:30:00,Google Meet,False
Update Performance Review date to next Wednesday and time to 14:00 at Main Conference Room,UPDATE,Performance Review,Annual review,"Sure, I've updated 'Performance Review' to 2025-5-21 from 14:00:00 to 15:30:00 at Main Conference Room.",2025-5-21,14:00:00,15:30:00,Main Conference Room,False
Add Yoga Class next Wednesday at 8:00 at Office at Office,ADD,Yoga Class,Morning yoga session,"Great, I've added 'Yoga Class' on 2025-5-21 from 08:00:00 to 10:00:00 at Office. Let me know if you need anything else!",2025-5-21,08:00:00,10:00:00,Office,False
"Cancel my all-day Team Meeting on October 18, 2025",CANCEL,Team Meeting,Weekly sync-up,Your event 'Team Meeting' on 2025-10-18 at 00:00:00 has been canceled. Let me know if there's anything else I can do!,2025-10-18,00:00:00,23:59:59,Clinic,True
"Cancel my AI Trends Webinar February 15, 2026 at 9:30 AM",CANCEL,AI Trends Webinar,Online AI seminar,Your event 'AI Trends Webinar' on 2026-2-15 at 09:00:00 has been canceled. Let me know if there's anything else I can do!,2026-2-15,09:00:00,10:30:00,Cafe Rio,False
Reschedule my Board Meeting to tomorrow at 11 AM at Main Conference Room,UPDATE,Board Meeting,High-level board discussion,"Sure, I've updated 'Board Meeting' to 2025-5-15 from 11:00:00 to 12:00:00 at Main Conference Room.",2025-5-15,11:00:00,12:00:00,Main Conference Room,False
"Move Project Review to March 22, 2026 at 3 PM at Google Meet",UPDATE,Project Review,Review project milestones,"Sure, I've updated 'Project Review' to 2026-3-22 from 15:00:00 to 17:00:00 at Google Meet.",2026-3-22,15:00:00,17:00:00,Google Meet,False
Update Marketing Presentation date to next Tuesday and time to 16:45 at Gym,UPDATE,Marketing Presentation,Present marketing strategy,"Sure, I've updated 'Marketing Presentation' to 2025-5-20 from 16:45:00 to 18:15:00 at Gym.",2025-5-20,16:45:00,18:15:00,Gym,False
"Add Performance Review July 17, 2026 at 16:45 at Zoom at Zoom",ADD,Performance Review,Annual review,"Great, I've added 'Performance Review' on 2026-7-17 from 16:45:00 to 17:15:00 at Zoom. Let me know if you need anything else!",2026-7-17,16:45:00,17:15:00,Zoom,False
"Cancel my Dentist Visit May 28, 2025 at 3 PM",CANCEL,Dentist Visit,Dental check-up,Your event 'Dentist Visit' on 2025-5-28 at 15:00:00 has been canceled. Let me know if there's anything else I can do!,2025-5-28,15:00:00,16:30:00,Cafe Rio,False
Change time of Data Workshop to 14:00 on next Thursday at Home,UPDATE,Data Workshop,Hands-on data workshop,"Sure, I've updated 'Data Workshop' to 2025-5-15 from 14:00:00 to 15:00:00 at Home.",2025-5-15,14:00:00,15:00:00,Home,False
Add Interview with Candidate tomorrow at 8:00 at Home at Home,ADD,Interview with Candidate,Candidate interview,"Great, I've added 'Interview with Candidate' on 2025-5-15 from 08:00:00 to 10:00:00 at Home. Let me know if you need anything else!",2025-5-15,08:00:00,10:00:00,Home,False
"Add Project Review June 30, 2025 at 8:00 at Google Meet at Google Meet",ADD,Project Review,Review project milestones,"Great, I've added 'Project Review' on 2025-6-30 from 08:00:00 to 09:00:00 at Google Meet. Let me know if you need anything else!",2025-6-30,08:00:00,09:00:00,Google Meet,False
Update Team Meeting to an all-day event on day after tomorrow,UPDATE,Team Meeting,Weekly sync-up,"Sure, I've updated 'Team Meeting' to 2025-5-16 from 00:00:00 to 23:59:59 at Gym.",2025-5-16,00:00:00,23:59:59,Gym,True
Cancel my Project Review next Thursday at 11 AM,CANCEL,Project Review,Review project milestones,Your event 'Project Review' on 2025-5-15 at 11:00:00 has been canceled. Let me know if there's anything else I can do!,2025-5-15,11:00:00,12:00:00,Home,False
"Move Coffee with Sarah to January 4, 2026 at 14:00 at Cafe Rio",UPDATE,Coffee with Sarah,Catch-up over coffee,"Sure, I've updated 'Coffee with Sarah' to 2026-1-4 from 14:00:00 to 15:00:00 at Cafe Rio.",2026-1-4,14:00:00,15:00:00,Cafe Rio,False
Cancel my Performance Review tomorrow at 8:00,CANCEL,Performance Review,Annual review,Your event 'Performance Review' on 2025-5-15 at 08:00:00 has been canceled. Let me know if there's anything else I can do!,2025-5-15,08:00:00,09:30:00,Home,False
Cancel my Lunch with John next Thursday at 11 AM,CANCEL,Lunch with John,Casual lunch,Your event 'Lunch with John' on 2025-5-15 at 11:00:00 has been canceled. Let me know if there's anything else I can do!,2025-5-15,11:00:00,11:30:00,Teams,False
Change time of Performance Review to 11 AM on next Thursday at Clinic,UPDATE,Performance Review,Annual review,"Sure, I've updated 'Performance Review' to 2025-5-15 from 11:00:00 to 11:30:00 at Clinic.",2025-5-15,11:00:00,11:30:00,Clinic,False
Add Dentist Visit day after tomorrow at 8:00 at Gym at Gym,ADD,Dentist Visit,Dental check-up,"Great, I've added 'Dentist Visit' on 2025-5-16 from 08:00:00 to 09:00:00 at Gym. Let me know if you need anything else!",2025-5-16,08:00:00,09:00:00,Gym,False
Add Yoga Class next Thursday at 8:00 at Clinic at Clinic,ADD,Yoga Class,Morning yoga session,"Great, I've added 'Yoga Class' on 2025-5-15 from 08:00:00 to 09:30:00 at Clinic. Let me know if you need anything else!",2025-5-15,08:00:00,09:30:00,Clinic,False
Add Data Workshop next Wednesday at 14:00 at Clinic at Clinic,ADD,Data Workshop,Hands-on data workshop,"Great, I've added 'Data Workshop' on 2025-5-21 from 14:00:00 to 15:00:00 at Clinic. Let me know if you need anything else!",2025-5-21,14:00:00,15:00:00,Clinic,False
Add Conference Call next Tuesday at 9:30 AM at Cafe Rio at Cafe Rio,ADD,Conference Call,Call with team,"Great, I've added 'Conference Call' on 2025-5-20 from 09:00:00 to 10:00:00 at Cafe Rio. Let me know if you need anything else!",2025-5-20,09:00:00,10:00:00,Cafe Rio,False
Cancel my Birthday Party next Tuesday at 3 PM,CANCEL,Birthday Party,Celebrate birthday,Your event 'Birthday Party' on 2025-5-20 at 15:00:00 has been canceled. Let me know if there's anything else I can do!,2025-5-20,15:00:00,15:30:00,Google Meet,False
Reschedule my AI Trends Webinar to next Monday at 9:30 AM at Home,UPDATE,AI Trends Webinar,Online AI seminar,"Sure, I've updated 'AI Trends Webinar' to 2025-5-19 from 09:00:00 to 10:30:00 at Home.",2025-5-19,09:00:00,10:30:00,Home,False
"Add Board Meeting October 13, 2025 at 3 PM at Main Conference Room at Main Conference Room",ADD,Board Meeting,High-level board discussion,"Great, I've added 'Board Meeting' on 2025-10-13 from 15:00:00 to 17:00:00 at Main Conference Room. Let me know if you need anything else!",2025-10-13,15:00:00,17:00:00,Main Conference Room,False
"Update Yoga Class date to July 4, 2025 and time to 11 AM at Home",UPDATE,Yoga Class,Morning yoga session,"Sure, I've updated 'Yoga Class' to 2025-7-4 from 11:00:00 to 13:00:00 at Home.",2025-7-4,11:00:00,13:00:00,Home,False
Cancel my Doctor Appointment next Thursday at 16:45,CANCEL,Doctor Appointment,Health check-up,Your event 'Doctor Appointment' on 2025-5-15 at 16:45:00 has been canceled. Let me know if there's anything else I can do!,2025-5-15,16:45:00,18:15:00,Cafe Rio,False
Add Board Meeting day after tomorrow at 9:30 AM,ADD,Board Meeting,High-level board discussion,"Great, I've added 'Board Meeting' on 2025-5-16 from 09:00:00 to 11:00:00. Let me know if you need anything else!",2025-5-16,09:00:00,11:00:00,,False
Move Coffee with Sarah to next Monday at 9:30 AM,UPDATE,Coffee with Sarah,Catch-up over coffee,"Sure, I've updated 'Coffee with Sarah' to 2025-5-19 from 09:00:00 to 11:00:00.",2025-5-19,09:00:00,11:00:00,,False
"Add Doctor Appointment March 14, 2026 at 11 AM",ADD,Doctor Appointment,Health check-up,"Great, I've added 'Doctor Appointment' on 2026-3-14 from 11:00:00 to 11:30:00. Let me know if you need anything else!",2026-3-14,11:00:00,11:30:00,,False
"Add Doctor Appointment June 2, 2026 at 9:30 AM at Main Conference Room at Main Conference Room",ADD,Doctor Appointment,Health check-up,"Great, I've added 'Doctor Appointment' on 2026-6-2 from 09:00:00 to 10:30:00 at Main Conference Room. Let me know if you need anything else!",2026-6-2,09:00:00,10:30:00,Main Conference Room,False
Cancel my all-day Project Review on next Tuesday,CANCEL,Project Review,Review project milestones,Your event 'Project Review' on 2025-5-20 at 00:00:00 has been canceled. Let me know if there's anything else I can do!,2025-5-20,00:00:00,23:59:59,Main Conference Room,True
"Move Board Meeting to August 1, 2026 at 16:45 at Office",UPDATE,Board Meeting,High-level board discussion,"Sure, I've updated 'Board Meeting' to 2026-8-1 from 16:45:00 to 17:15:00 at Office.",2026-8-1,16:45:00,17:15:00,Office,False
"Add Project Review all day on March 7, 2026 at Gym",ADD,Project Review,Review project milestones,"Great, I've added 'Project Review' on 2026-3-7 from 00:00:00 to 23:59:59 at Gym. Let me know if you need anything else!",2026-3-7,00:00:00,23:59:59,Gym,True
Add Conference Call next Friday at 11 AM at Zoom at Zoom,ADD,Conference Call,Call with team,"Great, I've added 'Conference Call' on 2025-5-16 from 11:00:00 to 13:00:00 at Zoom. Let me know if you need anything else!",2025-5-16,11:00:00,13:00:00,Zoom,False
Cancel my Birthday Party next Tuesday at 16:45,CANCEL,Birthday Party,Celebrate birthday,Your event 'Birthday Party' on 2025-5-20 at 16:45:00 has been canceled. Let me know if there's anything else I can do!,2025-5-20,16:45:00,17:45:00,Clinic,False
Add Data Workshop day after tomorrow at 8:00 at Gym at Gym,ADD,Data Workshop,Hands-on data workshop,"Great, I've added 'Data Workshop' on 2025-5-16 from 08:00:00 to 09:30:00 at Gym. Let me know if you need anything else!",2025-5-16,08:00:00,09:30:00,Gym,False
"Add Lunch with John July 18, 2025 at 8:00 at Office at Office",ADD,Lunch with John,Casual lunch,"Great, I've added 'Lunch with John' on 2025-7-18 from 08:00:00 to 08:30:00 at Office. Let me know if you need anything else!",2025-7-18,08:00:00,08:30:00,Office,False
Add Marketing Presentation tomorrow at 16:45,ADD,Marketing Presentation,Present marketing strategy,"Great, I've added 'Marketing Presentation' on 2025-5-15 from 16:45:00 to 18:15:00. Let me know if you need anything else!",2025-5-15,16:45:00,18:15:00,,False
Add Team Meeting next Monday at 11 AM at Gym at Gym,ADD,Team Meeting,Weekly sync-up,"Great, I've added 'Team Meeting' on 2025-5-19 from 11:00:00 to 13:00:00 at Gym. Let me know if you need anything else!",2025-5-19,11:00:00,13:00:00,Gym,False
"Change time of Lunch with John to 11 AM on January 24, 2026 at Zoom",UPDATE,Lunch with John,Casual lunch,"Sure, I've updated 'Lunch with John' to 2026-1-24 from 11:00:00 to 13:00:00 at Zoom.",2026-1-24,11:00:00,13:00:00,Zoom,False
"Add Doctor Appointment August 6, 2026 at 11 AM at Office at Office",ADD,Doctor Appointment,Health check-up,"Great, I've added 'Doctor Appointment' on 2026-8-6 from 11:00:00 to 11:30:00 at Office. Let me know if you need anything else!",2026-8-6,11:00:00,11:30:00,Office,False
"Add Yoga Class August 30, 2025 at 16:45 at Zoom at Zoom",ADD,Yoga Class,Morning yoga session,"Great, I've added 'Yoga Class' on 2025-8-30 from 16:45:00 to 17:45:00 at Zoom. Let me know if you need anything else!",2025-8-30,16:45:00,17:45:00,Zoom,False
Cancel my Doctor Appointment next Wednesday at 16:45,CANCEL,Doctor Appointment,Health check-up,Your event 'Doctor Appointment' on 2025-5-21 at 16:45:00 has been canceled. Let me know if there's anything else I can do!,2025-5-21,16:45:00,18:15:00,Cafe Rio,False
Update Board Meeting date to next Monday and time to 11 AM at Google Meet,UPDATE,Board Meeting,High-level board discussion,"Sure, I've updated 'Board Meeting' to 2025-5-19 from 11:00:00 to 12:30:00 at Google Meet.",2025-5-19,11:00:00,12:30:00,Google Meet,False
"Add Team Meeting all day on May 26, 2025 at Home",ADD,Team Meeting,Weekly sync-up,"Great, I've added 'Team Meeting' on 2025-5-26 from 00:00:00 to 23:59:59 at Home. Let me know if you need anything else!",2025-5-26,00:00:00,23:59:59,Home,True
Add Team Meeting next Friday at 14:00 at Gym at Gym,ADD,Team Meeting,Weekly sync-up,"Great, I've added 'Team Meeting' on 2025-5-16 from 14:00:00 to 16:00:00 at Gym. Let me know if you need anything else!",2025-5-16,14:00:00,16:00:00,Gym,False
"Move Project Review to November 5, 2025 at 11 AM at Home",UPDATE,Project Review,Review project milestones,"Sure, I've updated 'Project Review' to 2025-11-5 from 11:00:00 to 12:30:00 at Home.",2025-11-5,11:00:00,12:30:00,Home,False
Move AI Trends Webinar to next Monday at 14:00 at Teams,UPDATE,AI Trends Webinar,Online AI seminar,"Sure, I've updated 'AI Trends Webinar' to 2025-5-19 from 14:00:00 to 14:30:00 at Teams.",2025-5-19,14:00:00,14:30:00,Teams,False
"Change time of Lunch with John to 11 AM on August 20, 2026 at Cafe Rio",UPDATE,Lunch with John,Casual lunch,"Sure, I've updated 'Lunch with John' to 2026-8-20 from 11:00:00 to 13:00:00 at Cafe Rio.",2026-8-20,11:00:00,13:00:00,Cafe Rio,False
Add AI Trends Webinar next Monday at 14:00 at Main Conference Room at Main Conference Room,ADD,AI Trends Webinar,Online AI seminar,"Great, I've added 'AI Trends Webinar' on 2025-5-19 from 14:00:00 to 15:30:00 at Main Conference Room. Let me know if you need anything else!",2025-5-19,14:00:00,15:30:00,Main Conference Room,False
Add Marketing Presentation next Monday at 11 AM at Teams at Teams,ADD,Marketing Presentation,Present marketing strategy,"Great, I've added 'Marketing Presentation' on 2025-5-19 from 11:00:00 to 12:00:00 at Teams. Let me know if you need anything else!",2025-5-19,11:00:00,12:00:00,Teams,False
